datetime,sample_id,state,Main_Stock,Eff_Type
5,49,rob_efficient_stock,rob,efficient_stock
5,50,rob_efficient_stock,rob,efficient_stock
5,51,ret_er_efficient_stock,ret,efficient_stock
5,52,ret_er_efficient_stock,ret,efficient_stock
5,53,ret_er_efficient_stock,ret,efficient_stock
5,54,ret_er_efficient_stock,ret,efficient_stock
5,55,ret_er_efficient_stock,ret,efficient_stock
5,56,ret_er_efficient_stock,ret,efficient_stock
5,57,ret_er_efficient_stock,ret,efficient_stock
5,58,remaining_efficient_stock,remaining,efficient_stock
5,59,remaining_efficient_stock,remaining,efficient_stock
5,60,remaining_efficient_stock,remaining,efficient_stock
5,61,remaining_efficient_stock,remaining,efficient_stock
5,62,remaining_efficient_stock,remaining,efficient_stock
5,63,remaining_efficient_stock,remaining,efficient_stock
5,64,remaining_efficient_stock,remaining,efficient_stock
5,65,ret_er_below_baseline_stock,ret,below_baseline_stock
5,66,ret_er_below_baseline_stock,ret,below_baseline_stock
5,67,remaining_efficient_stock,remaining,efficient_stock
5,68,remaining_efficient_stock,remaining,efficient_stock
5,69,remaining_efficient_stock,remaining,efficient_stock
5,70,remaining_efficient_stock,remaining,efficient_stock
5,71,remaining_efficient_stock,remaining,efficient_stock
5,72,remaining_efficient_stock,remaining,efficient_stock
5,73,remaining_efficient_stock,remaining,efficient_stock
5,74,remaining_efficient_stock,remaining,efficient_stock
5,75,remaining_efficient_stock,remaining,efficient_stock
5,76,remaining_efficient_stock,remaining,efficient_stock
5,77,remaining_efficient_stock,remaining,efficient_stock
5,78,remaining_efficient_stock,remaining,efficient_stock
5,79,ret_er_baseline_stock,ret,baseline_stock
5,80,ret_er_baseline_stock,ret,baseline_stock
5,81,ret_er_baseline_stock,ret,baseline_stock
5,82,ret_er_baseline_stock,ret,baseline_stock
5,83,ret_er_baseline_stock,ret,baseline_stock
5,84,ret_er_baseline_stock,ret,baseline_stock
5,85,remaining_efficient_stock,remaining,efficient_stock
5,86,remaining_efficient_stock,remaining,efficient_stock
5,87,remaining_efficient_stock,remaining,efficient_stock
5,88,remaining_efficient_stock,remaining,efficient_stock
5,89,ret_er_efficient_stock,ret,efficient_stock
5,90,ret_er_efficient_stock,ret,efficient_stock
5,91,remaining_efficient_stock,remaining,efficient_stock
5,92,remaining_efficient_stock,remaining,efficient_stock
5,93,remaining_efficient_stock,remaining,efficient_stock
5,94,remaining_efficient_stock,remaining,efficient_stock
5,95,remaining_efficient_stock,remaining,efficient_stock
5,96,remaining_efficient_stock,remaining,efficient_stock
5,97,remaining_efficient_stock,remaining,efficient_stock
5,98,remaining_efficient_stock,remaining,efficient_stock
5,99,remaining_efficient_stock,remaining,efficient_stock
5,100,remaining_efficient_stock,remaining,efficient_stock
